Search element: 0 | Index found: -1 | Comparisons: 2
Search element: 5 | Index found: 4 | Comparisons: 3
Search element: 18 | Index found: 12 | Comparisons: 7
Search element: 23 | Index found: -1 | Comparisons: 8
Search element: 30 | Index found: -1 | Comparisons: 9
Search element: 31 | Index found: 19 | Comparisons: 6
Search element: 34 | Index found: 22 | Comparisons: 9
Search element: 40 | Index found: 27 | Comparisons: 10
Search element: 44 | Index found: 29 | Comparisons: 8
Search element: 48 | Index found: 33 | Comparisons: 7
